entity_type,entity_group_id_v1,record_count
donor_structure,5871f1eede74cccaeed54d4af45dc2d91f5e41c25e5eb120ecfa63e195fd1bd5,216
donor_structure,594fd8ae3b507288ae8d74e5f406cdcaa80ba56de983d210bf19ada283d36fa5,81
donor_structure,59fa7f9e0ab543a7f8492e31c95063f834e1c3d8e0399faf7c385f5255f853df,159
donor_structure,5bb112e3f2c86bba5134879b243496980081c3e2c92533765e7558c2dc296937,113
donor_structure,5f955bc64f594b860e73aba037b680a187deb5a9c37bdeecb03666f321788058,175
donor_structure,6241aa088548e73103ef16033cb4aad75d771b91b67314dfedba2bc95bbd3e16,189
donor_structure,62f393319f9fe3d6238fdba1c1aeec94474d6c411170e7def950b0597ea9d7e4,72
donor_structure,63f1fc1ffc4abad63bf07b23dcffc279baed540a485e226772535f91d4aa0bcd,73
donor_structure,65e5adf59e01980fe0bba0ef0d2237bdbb5c1a5f4807c591cf73b77ce4bb205a,79
donor_structure,6b06e4aa31176cd43a58a33ea5d91d20590a84e0bed5cfeec2f7cc2faf058d6e,71
donor_structure,6b68f654d31533d1990ae2c03084ffc7cff6b77f71cc6fcb36a646bae4546461,63
donor_structure,6bf2dbbd597d5f640d3e7dac468a7ef7c80c6a98e71f9ec135746be8f99d1b54,107
donor_structure,6cf04c1fa914deaf1c35fad202e83b51893014036a5602e3620553fa574d5946,140
donor_structure,6e8dce86497872786b6f2763d65275d734a8fb3b305877cfb9401fe6b6a1a7e3,43
donor_structure,6f7c8e7f5e5a6f7d87e0115c22a13316585b1301e1984bf7b31150f562f1b184,71
donor_structure,7174e55989090055216f085e643a3d3727964592cc76059d23ab2413284d0134,120
donor_structure,757dc21fada9930c08e5785aa96e9d67144a358427553bfd2a90e8a6cf1e6a56,77
donor_structure,7b326512bf00bf6ca8afa1ef03ae95f80e8d19e3d23c93ae66ab3c7aa01d8fbe,86
donor_structure,7d013c6165c7fca97458526773cfd8ac1f0f63031505eb5d3c6a940c8c7bb7d7,195
donor_structure,7dcf52d3cfb998ade11aa01ff29ec1c417f5157f2c6b0498dedf2f9a2c7a5ceb,122
donor_structure,7eb25f4c482f6dd05e774a247c6a7a2a7c4056919685cd9c55a9242c5e1e0c93,171
donor_structure,82337443ee126cb24d437bcdb56fb038a8384e5ea46306a8592c27ca0c54b41e,83
donor_structure,842bdcc2cc4de97b21aadb5e6f034fb92879c591229f072424ff59e9b66d6474,56
donor_structure,8486de25c9208bd98824649ec54a3d16f786bcfada23a0d1a94ca19efca645a1,183
donor_structure,84d29d692db6d95893b7bf5a78e7e4ba4dd554336cae280fcd61a1c3b7f423f3,56
donor_structure,86a42fce614262e7d0da9fa01acc9d3b718e8c96a4a3039a462b28dd41d0c8cc,149
donor_structure,88970f8505b2dd08800ed305b285d1690972f7ab4abc9658b31524219013e474,109
donor_structure,8a36393521788b4940525bc8a3042da9828629d3a91cbdaa6b5dbcbc2e563394,80
donor_structure,8a5cbd5b495b8697c3189545ac21acaa880a5cd7da7e0019403af05292af63e5,75
donor_structure,8b1cce9b3d1ba5c38c805ccce7b84b30f8a0adade2058f30929f43ae9b078418,151
donor_structure,8c2a1ad1a39e295a98c71ad1dce4e40690686f1e7571605d6b89119896f42805,184
donor_structure,8df9d80e87a2c4f6937ae64f566b251e46f0251a23134d4bea0ee182af324ca9,33
donor_structure,8f788cf4a3cabe83561b980506d48f05883a408ec6991b3d1f3597a02fac9eb3,4
donor_structure,8ff585e4f64002d0ed93d677f0718f2e5e84ddec44714d9719b2a543359aba52,30
donor_structure,910842355a5f8237b6e69f279755dc3f387ae17ba73f4e8e9d43f7056caa2641,190
donor_structure,938037af6239364766c7a77d3ca392cd17c88195f8f7a9e7a08307d656f52909,70
donor_structure,97b2fb81ec6b4e42add50d4b1240f6cf773edb42874bc0509ebc3ba113f8080d,98
donor_structure,97b80cb90a06138644a43c8023949e4c76be26d7b9b963b0ec674ae2cdd55d8f,74
donor_structure,9aed2d5cc238c77a5c42722d02f8cf7b98d7826d57358a256415354dcc81280a,88
donor_structure,9bbec50a5d4e7bc71186ae43bbb0e230a2095f414fad21ce5b7cacfa9f212c58,3
donor_structure,9bdc2b19a45cadb4530acf191458ad26088d7e9ea44cbc6f1093d9ae158337f3,170
donor_structure,9ccb7ec46751fb98b550ac1d3176349c01c95c1da94292cec6adaff96ebb831b,188
donor_structure,9da527a156f47b2e57e3113ddc8dc0c2eedf5ccd768dc611e86ff3a45f029e4a,45
donor_structure,9deec5991e7536990bb764c3faf9106b27dfcd4e0eb163c6aee71d7841b3725c,71
donor_structure,9e57c7815a8fb985dfe73863da229499fd96379b5fab6e5b68c21e4df5fe0be5,67
donor_structure,a69d7d586ac80bc5ac499b858db4c44bd6a383b20b102932442ed97a47708a84,80
