structure_group_id_v1,structure_group_size,target,target_role,non_null_count,meaningful_tolerance,min,max,range,mean,std_population,maximum_absolute_deviation,exact_consistency,allclose_consistency,meaningful_disagreement
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_coulomb_attraction_eV,secondary,2,0.001,1.55297,1.553156,0.00018600000000001948,1.5530629999999999,9.300000000000974e-05,9.300000000012076e-05,False,False,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_Sm,secondary,2,1e-05,0.02946,0.02947,9.999999999999593e-06,0.029464999999999998,4.999999999999796e-06,5.000000000001531e-06,False,False,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_Sr,secondary,2,1e-05,0.13919,0.13921,1.9999999999992246e-05,0.1392,9.999999999996123e-06,1.0000000000010001e-05,False,False,True
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_D_index_angstrom,secondary,2,0.001,10.729,10.73,0.0010000000000012221,10.7295,0.0005000000000006111,0.0005000000000006111,False,False,True
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_H_CT_angstrom,secondary,2,0.001,3.425,3.425,0.0,3.425,0.0,0.0,True,True,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_t_index_angstrom,secondary,2,0.001,7.304,7.305,0.0009999999999994458,7.3045,0.0004999999999997229,0.0004999999999997229,False,False,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_HDI,secondary,2,0.001,7.08,7.08,0.0,7.08,0.0,0.0,True,True,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_EDI,secondary,2,0.001,5.24,5.24,0.0,5.24,0.0,0.0,True,True,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_Q_D_to_A_au,secondary,2,1e-05,-0.00032,-0.000319,1.0000000000000243e-06,-0.0003195,5.000000000000122e-07,5.000000000000122e-07,False,False,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_dipole_change_norm_au,secondary,2,0.001,19.871812,19.873723,0.001910999999999774,19.8727675,0.000955499999999887,0.000955499999999887,False,False,True
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_hole_on_donor_fraction,masked_auxiliary,2,1e-05,0.9454545454545454,0.9454545454545454,0.0,0.9454545454545454,0.0,0.0,True,True,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_hole_on_acceptor_fraction,masked_auxiliary,2,1e-05,0.05454545454545454,0.05454545454545454,0.0,0.05454545454545454,0.0,0.0,True,True,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_electron_on_donor_fraction,masked_auxiliary,2,1e-05,0.006014725707767297,0.006014725707767297,0.0,0.006014725707767297,0.0,0.0,True,True,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,tddft_electron_on_acceptor_fraction,masked_auxiliary,2,1e-05,0.9939852742922327,0.9939852742922327,0.0,0.9939852742922327,0.0,0.0,True,True,False
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_coulomb_attraction_eV_eps3p5_proxy,primary,2,0.001,0.3577082857142857,0.3621331428571429,0.004424857142857175,0.35992071428571426,0.0022124285714285874,0.002212428571428615,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_excitation_energy_ev,secondary,2,0.001,2.4412,2.4412,0.0,2.4412,0.0,0.0,True,True,False
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_wavelength_nm,secondary,2,0.1,507.87,507.89,0.01999999999998181,507.88,0.009999999999990905,0.009999999999990905,False,False,False
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_oscillator_strength,secondary,2,0.0001,0.9156,0.916,0.00040000000000006697,0.9158,0.00020000000000003348,0.000200000000000089,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_transition_dipole_au,secondary,2,0.0001,2.597620716335566,2.628937117654595,0.03131640131902902,2.6132789169950805,0.01565820065951451,0.01565820065951451,False,False,True
