structure_group_id_v1,deterministic_representative_molecule_id,selection_rule,strict_representative_eligible,role_consistent,geometry_fully_resolved,sidecar_consistent,meaningful_target_disagreement_count
1e72c3eb23ea6d0b04cdbce6548968641bebf4674ecc617b3e4be0956841a9e0,D52_A259,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
1ef2853a81442a34bf334ae986013da3d987ccc88d04f98d17b8a0a610f68b8c,D55_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,7
1f5da7b682a6ea6cf9a6006dcbf9ca516fc7ff32e3b7f97f67c1ae87f7953d34,D41_A25,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,11
1f8897f1f85f8594bf925ed1cc14941f6e525e946dd2be957ba80923097ae6ae,D30_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
214fdce902d34b70b9fe1bee32652b18255257d862faa7248816f46d48cd9497,D119_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,2
21c9dd74de0ae4f7b833f43955b1f5f3b503d5e4b7e83345e09c514b9737bfb4,D37_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,15
2238fc4b82609500db28e6b3cbb07551af4ad7bd97e9910bafaa719bc9e6fe7f,D29_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,14
24441f51971564d9187eb5549cc59ecf361dfb18974c65b6564da96f789b04a8,D135_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,9
24768b7ac86674ef4f5536fd63df9c99bbaf83f0140ac832bc69188f6c5a9d64,D123_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,14
24ea6b920874def873fec4692f60ce8c789d491bdfc3bfbba1bd6fd0659f1508,D52_A6,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,9
2511d439a5893069d4710f26e174f490e73e50ef038d39aed78c5a67b6bcd0ca,D140_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,14
25a174e9476e42dc7ef0891e0c07826e892271bb89fa543dc01f8fabf399d255,D52_A5,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,14
27c856c71093589440e465eccdbe0fb105239ed5c1c839afcad66640212da066,D52_A341,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,3
28a9227d4e8acf492ebaaf98efb8f0062517d1b976a8831fc5e669992b15c396,D41_A341,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,4
29a2ecfcdfd9cdf3c66166f3dd98b04e1cfa53d3aebb832bb75e2cf9bcce9e63,D32_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,10
2a029f417cdba64eee1572b58a51805240cb5cbf09505824283bdd14ce16e8c9,D153_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,11
2a9ca455e456caf3d7b5c3a8e88a038d99719927a0c9d83f74b42bea3d7a96b2,D92_A13,"lowest numeric (donor_number, acceptor_number)",True,True,True,True,0
2b249cc51c79a874be8e408b2a2a277199082987be38de3543c4fb938a520e61,D1_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,1
2b3eadaf164a6f93c40ae979cbf4db8d63d23329ceabf783b473e713e704505c,D5_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
2b6378e1bb445e5c4d59de1800463943f821a0dc990d7a19fe6d95d1ee752eb4,D41_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,8
2bbbe4b1381215e8bc54604370cf7b027f37eaaed3df16d57038f7e4b013a9ae,D95_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,8
2c4a5daff8bc2c0fe1a54ef2b48cda03ada833049105f6aa340752148ded609a,D86_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,4
2c66308888e92641c45fa59fa3cb7c651985d0c159b56436185187374f72d6f1,D144_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
2d0b17964d37a95de0e198cf215a21d51575ed257089accf4a35b47097c4bfe7,D11_A274,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,12
2d27dacfc5bce6c1c7d21639039cd0c78d117b0287346517548e2ca4830018e3,D126_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,8
2e762c04cd9a597a6ecfe4038f0b446add9c6bf54e387682ec5f58cfb153efda,D119_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,20
2f36405c687100526fe01a9bef393f7ac8817c30aac1d5de6613dda2364bda68,D52_A147,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,11
2f73ed554a0fc5ee47014efb984ba09fc7ccc173a02c64a2b54e5fbfe63332e5,D159_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,19
2f87d80036d7c320a31ce4fee797333e69c0bd1e29b27ff190077750a6ac7876,D41_A375,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,3
2fa674bf323947c3df8d760f767a4ea6ba7ec199251c1559b9e8f8305e9cdb19,D11_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
31f11c6c43187e4aeedb788d312fbce9c3af37f8304fe6f64ae236589a6da618,D52_A141,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,10
322c37f2a651a6ff683db6ce91bbbde351877bd0f91fe7a6eab4d217ab40a59e,D47_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,2
329c7bda034f0cf7744dea55471d788c7dd05f18620c784d8eb32b6b79403ed3,D13_A274,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,6
3484fd9a4c73f30e360f526eb3118976a34c24147c8e574008fb648be159e472,D78_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,12
349c4bdb36afc3f8b1ac11a835c5e9142023a7842bf351b2d8324b92b17cb9f6,D29_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,13
356e208d8907f93ba3aa77d906b0a563b966ef48d03c7e6b2b1f237cce656eba,D52_A171,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
360a41034227ee9aa9e4ec43514f5beaaabc204b314002c443dac0e4bd49bf19,D164_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,2
36b415584ad3799e472716ea4ee76ca981be7334171a212c8091f3943318e10f,D41_A141,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,17
36c45d958796756afe7224df3341bc0545202fc69a98e5a338caea385c7f1f34,D41_A20,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,12
36cb918fe2bb55aaf4ab33fe5d24d487297d0aa2471458f4b7ec7c9e84f48408,D41_A379,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,10
36e8476416ae26c03a071eb4880f9aa8863ddb1f2efecaf172ca89dd8554f210,D41_A350,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,6
37b9b103c3dad7b676ab8319c7100f2cbc834f8ddaf797073f196d7371c3d41f,D19_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
37cb05664518bfa205835b88ff85480f922c9a5a4364533ddd795346c1023785,D52_A165,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,14
37e57362067a7b59aa1baadb0d51e518c36bdee75d603560938939bd9fcdbc3f,D58_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,6
3861a85019c882a1ba9d526ab5c6715b1fa0fcf35be6dc9aa350ea8a0242ad94,D43_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,6
39a24d9c1cdf391e573de692df1fce36256b988c727a96ec2b270cfa4e77778d,D52_A188,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,11
3abce04b453cb1c7bab7864d628bd2260bac65adff29d359660ed36fad902fe1,D152_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,6
3ae738d22e774436a94a818422d2f3e7cc9e1015733488eb4d80bc3d7806c45d,D41_A6,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,4
3b2b8e4b3cebb3249766e90dd9c4c1bb0e916db94e8ea7efadc35eb53ea82f11,D97_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
3be16584902261bacadedf0da89c3f5e3bdc883a193e93bfcb3f10c3cbe5a0f3,D52_A332,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,13
3be9018278cca99278893928a2f1a9b2b663cf896021c7e119e9c1f487a9af0d,D89_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,1
3beb07bb7bd4f3ccaf23db093bec8fd2305925178ea20834b465f551cc606146,D41_A230,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,20
3c6d19271690ba2b143f1004f735315b1ac6420675c158db0f1c293fe1cbf04b,D66_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,5
3c835a86d874a224c230b15c1fe2be5c442956683f1aff8a3a4d2e358d29fae2,D61_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,20
3d4cfd4b79c1c0204d63f3437ae267e52e2d6f0eb30e75ece4cf7b97f1e2543a,D15_A274,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,10
3e898edbcec5e958a96689c859429181eb71f1328d050d3dcbf46fc06fde1677,D23_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
3e92da07fe6d4c16be7e22b5b6299490f9169fdbb0736674ece26762e3fd7cd6,D52_A328,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
3ee0e44297e66c0ecc2ebad975b6337473e88adad9d2c1bd9f06a79039e631ae,D41_A170,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,7
3f9e34ba0329b331da2e1eec379aea8a6086e52d53a2a1b7030d00b984f79a3e,D52_A181,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,15
3fa8311564030138800de7529c76f4df6e293cdd3917ad274bf99ccdffed43bc,D41_A227,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,12
3fd7bc8e7fcbaf3780b88418b2978ac4613d36e157367abbe7b067bcf0feb8be,D33_A274,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,11
3ffafb702ecc181c27ee98ce25f956c1cdd840ce5eb82c014f5ead0256443f32,D93_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,9
403a7e233335b481aba02bfdeeaef08a8dddfca548de41d96886ff184a8e3a6c,D52_A275,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,20
42b26fe0db6195bb17aa940e69f4ea89c03e1cbcb960e63b05ee15cf5f60bc22,D52_A36,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,19
44e856fe7c11b1bb19910fb24eb3bcdd22d681356857dd2112a49d980a5f7e64,D96_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
4634928d6175524f4c577fab8e4e198e86436013716b0130030fe84aeca7056f,D70_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,5
46c4add09f91ed88ad4c564c1c5621573563186fd9484e86bc8408979d729459,D133_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,13
46f89cf9e5d7286f6757578ca4094dc11b1f21b55cc60af587bb5923777e7e95,D130_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,20
4796f87fa2fea1aba6e946632794c776e3b3d6f015a443bc47d7f904e2ac9230,D46_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,13
47c60cb8b6b100db1ba56ddbcf29272a933b022cb7a1f670d21e40643647c0bc,D145_A13,"lowest numeric (donor_number, acceptor_number)",True,True,True,True,0
493aedf60288a226e1fe74e6c279766cafdb02a60466d92b226a51cefced39ad,D52_A361,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,13
49aad3d857d3d2f0017feb6d6045f6e3829249bf3c032a90b8178b4375a8afd5,D98_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,7
49eaa554883e96cc04dce48bade53120a9616b0c3bec19a5ca7f290dfd74d92e,D41_A336,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,12
4ace455c3e5643958c0067b0f25673c6e994b99ac93ceb88067a20e1f91a03a7,D43_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,11
4b705d111de8dd0e9b0add776f7aa23e334f64d17042b2e61106efefc1d54164,D41_A358,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,12
4c747a26d53680f658fcf1cf46bfad69c2b83e64ec6164d447da18c97094215e,D52_A314,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
4f4d14741a33140895ad6c3761f006904b6f8a80b7353c28f3265c8c929dd645,D134_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,5
4f6c7c374d0504518d763f33ed300434a0f3879975d22b7f35f651fe00b3b8ba,D45_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,8
501e990180e8c5c55f7ae17faa2448a39c934e49003df6eed49196087b826fe9,D4_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,2
5118638739ad992d9019e5c5639680038f9059dfc565ae55cb93f4a6ea4f64ef,D88_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,1
51bdd12e0f6cfeb664efbc155a636dae777686dc3f370cdbdfc4daa314aa6e20,D64_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,10
523946ce380b3752744fec5f456b4ccaad33e865a351368add943d28e8a8b2ee,D76_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,8
526e28e6c2ebdcaf904f3c7b1ebdf4d7fc3b8f0c5e84eecf93a596123053fa8a,D57_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
537915073812859eec3804c661e8735621baccb3030aa307e2a7dbac58c934c3,D83_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
53c3377a02c973daaf3fad83069666abcaa5af1f7fa68fb5d7b0209d21f90d3e,D4_A274,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,11
5440d626cbdb7ef7201b3f18861a8061e69d8c2e7fff3c98056753bad2a7901d,D41_A173,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,13
54ecc09766a7f0839e8316554ec853666728895ac5bb3df7eab4c3f3918ff3cb,D52_A276,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
55f3df47c2b0d246a9fc481f8b86344a011b2a01d3c19249cd2a577115156683,D52_A178,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
57a62c8a026484d63802946582ce4647dce32725c3274959fe5ea54afe0ae2da,D10_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
59067e59b579308e8b84140a7fcd8b53e49035664170cec4ce599aa38758e0b7,D8_A274,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,2
5b5e4ac34ade00ecc0603ed756f3556737a19d6d29ac599a7f6fc58515deb81e,D7_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
5cb1c7aa9073e7ae3f27499eaf6f3503872c0c81c26264b1335d20138f844996,D93_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
5d4465062358a26199db296ea365514ca524ed34b01d706b0db5bdd64be63c22,D133_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,10
5e168dc379c581a89bada3e13e179a6a816a948125188e51659d58619b95a900,D52_A363,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,6
5ec3aa6184e1732a5468fb3f6de5e8f2b8b1b9dd910c1a55293a34bad7318a33,D91_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,9
