arm,fold,inference_wall_seconds,path,protocol,sha256,training_wall_seconds
xgb_c0_blind,2,0.043660759925842285,runs/gate2g1c_unified_2d/models/pair_cold_5fold/xgb_c0_blind/fold2/model.json,pair_cold_5fold,fd887a52de2ec067362e794e047830c7e4ee8f1d191703621dfdb99c7b784fcf,1.1364083923399448
xgb_c0_blind,3,0.035869683139026165,runs/gate2g1c_unified_2d/models/pair_cold_5fold/xgb_c0_blind/fold3/model.json,pair_cold_5fold,90a807ba693a8b626d2ce4cc239fbde38fde3a33d8de817b4fd3c1177bfdc6e9,1.0608537979424
xgb_c0_blind,4,0.04070003377273679,runs/gate2g1c_unified_2d/models/pair_cold_5fold/xgb_c0_blind/fold4/model.json,pair_cold_5fold,5874c1e1c46c8a235d622cea3a0107ac057777959d04f6312d4e8dffa2e5e332,1.0888711418956518
xgb_c0_observable_provenance,0,0.04770021000877023,runs/gate2g1c_unified_2d/models/pair_cold_5fold/xgb_c0_observable_provenance/fold0/model.json,pair_cold_5fold,4e545376890c7cfd5a9943e1b9e26a2c1068483bb9700f3fb18bcc1b8af501cb,1.1543972329236567
xgb_c0_observable_provenance,1,0.04535585409030318,runs/gate2g1c_unified_2d/models/pair_cold_5fold/xgb_c0_observable_provenance/fold1/model.json,pair_cold_5fold,1f74796f2b82b58d2385830b329aa27342646dca66a6eea383d1f5442ca16c6c,1.034991418942809
xgb_c0_observable_provenance,2,0.05048331618309021,runs/gate2g1c_unified_2d/models/pair_cold_5fold/xgb_c0_observable_provenance/fold2/model.json,pair_cold_5fold,07533bcb17245cdea26faf20866480cefbd20aaaafc01fbed1236b9badd0ccef,1.17883921880275
xgb_c0_observable_provenance,3,0.040370762813836336,runs/gate2g1c_unified_2d/models/pair_cold_5fold/xgb_c0_observable_provenance/fold3/model.json,pair_cold_5fold,f4d2fc5db95f3cf1b4fd0a4b2a4226f83955f00af7e06483efeb423bc240e000,1.1524873278103769
xgb_c0_observable_provenance,4,0.05266608111560345,runs/gate2g1c_unified_2d/models/pair_cold_5fold/xgb_c0_observable_provenance/fold4/model.json,pair_cold_5fold,cb60bc787908181e4a4200ea17317db2e4011bc966866b454be80b4f3d4c4ac9,1.1532733798958361
xgb_c0_blind,0,0.047117308247834444,runs/gate2g1c_unified_2d/models/donor_cold_5fold/xgb_c0_blind/fold0/model.json,donor_cold_5fold,c27859ebfe2e010b212d3b90cea3cd85347f5bfbf280ed1f0188309586824857,1.1578270308673382
xgb_c0_blind,1,0.05803955299779773,runs/gate2g1c_unified_2d/models/donor_cold_5fold/xgb_c0_blind/fold1/model.json,donor_cold_5fold,f5d29224235c2bfe0ef30a29d761f28f21758db104ac3543e5776eb026721c9a,1.0320647521875799
xgb_c0_blind,2,0.04557378403842449,runs/gate2g1c_unified_2d/models/donor_cold_5fold/xgb_c0_blind/fold2/model.json,donor_cold_5fold,020554f7fbe3c8ca1f92da17ef683189b728349cf0f141df9238ea34d13db759,1.19398080278188
xgb_c0_blind,3,0.04013184178620577,runs/gate2g1c_unified_2d/models/donor_cold_5fold/xgb_c0_blind/fold3/model.json,donor_cold_5fold,3c88feeb66c46a2d4ea5747e572bfbf36d6d430d9bb2a1aa5fddd19bc4a4e282,1.093539971858263
xgb_c0_blind,4,0.03403124772012234,runs/gate2g1c_unified_2d/models/donor_cold_5fold/xgb_c0_blind/fold4/model.json,donor_cold_5fold,dc5fbf0f9e03cd6960bb038913213cedb8ae044bfb15cd83ac28cb9cce6d35ca,1.0379695747978985
xgb_c0_observable_provenance,0,0.045796945225447416,runs/gate2g1c_unified_2d/models/donor_cold_5fold/xgb_c0_observable_provenance/fold0/model.json,donor_cold_5fold,53ee1de775ed583e56e6e7308dff52337ce79e705ab95c19b38fe066915c2161,1.174905579071492
xgb_c0_observable_provenance,1,0.04605597583577037,runs/gate2g1c_unified_2d/models/donor_cold_5fold/xgb_c0_observable_provenance/fold1/model.json,donor_cold_5fold,1915a23a599fec85f0c9b4a6c5d6b679c55eeb8df96109037b773247505b4256,1.1287651932798326
xgb_c0_observable_provenance,2,0.046209435909986496,runs/gate2g1c_unified_2d/models/donor_cold_5fold/xgb_c0_observable_provenance/fold2/model.json,donor_cold_5fold,4602048f084f1d58a5fcaed5ba8b1daa959beeb7ed4dd924f46b00d992065a9d,1.1954539366997778
xgb_c0_observable_provenance,3,0.032025333028286695,runs/gate2g1c_unified_2d/models/donor_cold_5fold/xgb_c0_observable_provenance/fold3/model.json,donor_cold_5fold,fbb550b08741c9897f8c1dd8f612f754b5988f08f5e752d47c01a319ffe6a0e8,1.114174221176654
xgb_c0_observable_provenance,4,0.042443857062608004,runs/gate2g1c_unified_2d/models/donor_cold_5fold/xgb_c0_observable_provenance/fold4/model.json,donor_cold_5fold,8b64b2c3775ff795dad8a86e8e7831d6f61eef057a0b90f50595521770e7a44d,1.1580550307407975
