bytes,family,input_columns,loadability,parameters,path,rounds,scientific_status,sha256,smoke_rows,tensor_count,tensor_elements
3004091,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2d2_frozen_molformer/v2_models/both_cold/B_MF_Full_RP512/model.json,500,,876fd36fcaf60b29aaac8541844a19555a7b004fe9aa161d8e2c3b491515b1d2,4,,
2690893,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2d2_frozen_molformer/v2_models/both_cold/C_MF_Role_RP512/model.json,500,,55ac69e7df86ac388a32366e732f2058cf220f4f34b444400352f678afc9b294,4,,
3086971,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2d2_frozen_molformer/v2_models/donor_cold/B_MF_Full_RP512/model.json,500,,e15e2be17875c3da51b099973b84ceff69b767bde014c9dae4ce91f499e6f666,4,,
2723917,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2d2_frozen_molformer/v2_models/donor_cold/C_MF_Role_RP512/model.json,500,,001ceb53733fdac65dc7da0390550f087325b6f302eb131d304522d5b62a9607,4,,
3158859,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2d2_frozen_molformer/v2_models/full_scaffold_cold/B_MF_Full_RP512/model.json,500,,d97109d28564065516cfe5577b426df8afe3625d9867d4b714f02c7704b020f2,4,,
2857364,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2d2_frozen_molformer/v2_models/full_scaffold_cold/C_MF_Role_RP512/model.json,500,,92c0a73809e5c80d99ec5992ff3f77fd70ab885c6e567c0b3bd2293a8c6705ff,4,,
3077258,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2d2_frozen_molformer/v2_models/iid/B_MF_Full_RP512/model.json,500,,523c53376206793835773012262ad817b70979043d217ec3abea60f8ffa961b1,4,,
2785777,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2d2_frozen_molformer/v2_models/iid/C_MF_Role_RP512/model.json,500,,edba10b44b7fae9c9b10be4cb4081495a8315c32056ab6f107ac7bfd0cc8eea9,4,,
3028263,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2d2_frozen_molformer/v2_models/pair_cold/B_MF_Full_RP512/model.json,500,,8e318b0a9be3d92f8386c1f3f12b0f4ca7b193a999a3dd19cf5fb09b2be5be2e,4,,
2854461,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2d2_frozen_molformer/v2_models/pair_cold/C_MF_Role_RP512/model.json,500,,04f6cc4f54aba14e5b5b4cf27cc8f8c445be1b60e7cb12a396114b605e6f326d,4,,
