arm,fold,group_macro_mae,group_macro_r2,group_macro_rmse,groups,inference_wall_seconds,model_sha256,parameter_count,peak_rss_kib,protocol,record_mae,record_r2,record_rmse,records,source_cohort_macro_mae,source_gap,source_mae,training_wall_seconds,worst_source_mae
xgb_c0_blind,0,0.08564139440842962,0.7458900700406362,0.12028762417486333,4908,0.05250423075631261,3bf185adcbb294e8ff7f9fa08d1dd0e6f830e7d0eb9d6653037c3be3b8c8c2f8,XGBoost_trees_500,779580,unified_grouped_5fold_oof,0.08551883542149827,0.7458571567830541,0.12010956789162698,5002,0.08077380981921524,0.02467108276911227,"{'external2698': 0.06536796750186094, 'new15016': 0.08691441168481161, 'old7316': 0.09003905027097321}",2.2868342637084424,0.09003905027097321
xgb_c0_blind,1,0.0886801901161648,0.7387223857050871,0.12463190218922461,4910,0.032334364019334316,69fb40a5144594bedefc2f0034b9b9873b898d4f46179f6298b759d38bf78ee6,XGBoost_trees_500,1068600,unified_grouped_5fold_oof,0.08885957283878264,0.738376709469915,0.12481100897772116,5002,0.08478509674531924,0.022338872148401176,"{'external2698': 0.07111899900239606, 'new15016': 0.08977842008276443, 'old7316': 0.09345787115079723}",1.0105076720938087,0.09345787115079723
xgb_c0_blind,2,0.08743862765345924,0.7368726986035085,0.12354777530997849,4909,0.033272755797952414,c038b5b5728d0cbb747565e54c1946642b8a319cd35cde4d3e3e6725e727382b,XGBoost_trees_500,1095444,unified_grouped_5fold_oof,0.08766651401969139,0.7363466284879785,0.12371927429672643,5001,0.0815532368692018,0.031294855288186214,"{'external2698': 0.06189308940695292, 'new15016': 0.08957867650551334, 'old7316': 0.09318794469513914}",1.04758782684803,0.09318794469513914
xgb_c0_blind,3,0.08546501037638085,0.737466778853133,0.12202149511638138,4908,0.036005612928420305,569474cf2dfd488e37882763947bf67ef2e9cf3080f2053b559fc4e37ac8dea8,XGBoost_trees_500,1105824,unified_grouped_5fold_oof,0.08551307098527833,0.7364909508382114,0.12221844339678001,5002,0.08141199438283073,0.023583558150792966,"{'external2698': 0.0672228632932837, 'new15016': 0.08620669841113181, 'old7316': 0.09080642144407666}",1.0962411989457905,0.09080642144407666
xgb_c0_blind,4,0.08657732730371917,0.7347013255037189,0.12282482310885724,4908,0.04285628907382488,4906d7b91cc1a843e04a1841bb676f8661f221c298a078af5cac14e60bc8a372,XGBoost_trees_500,1117828,unified_grouped_5fold_oof,0.08671800895699884,0.7345700924892484,0.12284650061284644,5001,0.08093821417351582,0.032448558687462645,"{'external2698': 0.06125059375196429, 'new15016': 0.08786489632915623, 'old7316': 0.09369915243942693}",1.1016911608166993,0.09369915243942693
xgb_c0_observable_provenance,0,0.07998201183988995,0.7804962181042846,0.11179725299657427,4908,0.03880642028525472,939f932547efeadd5a945d9e9753178a10247d0804fa18004cc35321cd2f09fe,XGBoost_trees_500,1124048,unified_grouped_5fold_oof,0.0798963323491463,0.780452316413444,0.11163569797839212,5002,0.07476981008360188,0.02149866354126828,"{'external2698': 0.06258137695311075, 'new15016': 0.08408004049437903, 'old7316': 0.07764801280331586}",1.1012821402400732,0.08408004049437903
xgb_c0_observable_provenance,1,0.08314759630898608,0.7707358295775737,0.11674713094513418,4910,0.03925437107682228,7744c22a5198cebf211aae7f44a8fdc50b9597b2c4788ebdd219aa3069b24433,XGBoost_trees_500,1127188,unified_grouped_5fold_oof,0.08322650084637782,0.7711068288091488,0.11674307013447631,5002,0.07891122542000834,0.01803181468691105,"{'external2698': 0.06880310227171996, 'new15016': 0.086834916958631, 'old7316': 0.08109565702967401}",1.0147838410921395,0.086834916958631
xgb_c0_observable_provenance,2,0.08091282676458579,0.777980649591894,0.11348733235845383,4909,0.0365147739648819,b029efdf5b5336e60eb62dac48aeeef668846f40de6156faeb8b6522f7e52e6e,XGBoost_trees_500,1138324,unified_grouped_5fold_oof,0.08106444984136803,0.7778023252295696,0.11357701596112438,5001,0.07560535360543452,0.02321656010577222,"{'external2698': 0.061823599382521494, 'new15016': 0.08504015948829372, 'old7316': 0.07995230194548837}",1.0994052356109023,0.08504015948829372
xgb_c0_observable_provenance,3,0.08034037704113701,0.7739189060112669,0.11323386504906367,4908,0.046448446810245514,b53b0f41b9109f6a823179984ed91e43b2cde73b1af6278081875ea7effeeb52,XGBoost_trees_500,1138324,unified_grouped_5fold_oof,0.08038296788050127,0.7732909895737465,0.11336353286570218,5002,0.07641347444761955,0.016894187988972187,"{'external2698': 0.06638338103896413, 'new15016': 0.08327756902793632, 'old7316': 0.0795794732759582}",1.032448201905936,0.08327756902793632
xgb_c0_observable_provenance,4,0.08076782865130133,0.7705139343538545,0.11423436383331675,4908,0.04123603459447622,03593b2da517048b42c49de980b9fa8101728fc1f90e93b16477c5bd4d6b11a5,XGBoost_trees_500,1138324,unified_grouped_5fold_oof,0.08089385342805736,0.7706970110215642,0.11418070489217957,5001,0.07504201910131097,0.02479970028530857,"{'external2698': 0.06048703589545435, 'new15016': 0.08528673618076292, 'old7316': 0.07935228522771563}",1.0816565556451678,0.08528673618076292
