index,name,uuid,memory_total_mib,memory_used_mib,memory_free_mib,utilization_gpu_pct,temperature_c,pstate,compute_processes,status,observed_at_utc
0,NVIDIA GeForce RTX 3090,GPU-5343f59b-d72e-7137-0eb0-e4b743f5a285,24576,15,24110,0,38,P8,0,FREE,2026-07-18 13:43:00
1,NVIDIA GeForce RTX 3090,GPU-3e88f35f-f294-dd8d-847a-6f594ba5bee3,24576,15,24110,0,39,P8,0,FREE,2026-07-18 13:43:00
2,NVIDIA GeForce RTX 3090,GPU-9f6dde6d-019f-6ead-113a-75616bdd8605,24576,15,24110,0,36,P8,0,FREE,2026-07-18 13:43:00
3,NVIDIA GeForce RTX 3090,GPU-0356627d-ea83-0201-f4bf-ebaade0f0554,24576,15,24110,0,37,P8,0,FREE,2026-07-18 13:43:00
4,NVIDIA GeForce RTX 3090,GPU-743c09fb-b133-73bb-ec99-5d5e399d7421,24576,15,24110,0,37,P8,0,FREE,2026-07-18 13:43:00
5,NVIDIA GeForce RTX 3090,GPU-9a161448-8977-d079-3fd1-e379897cbc02,24576,15,24110,0,34,P8,0,FREE,2026-07-18 13:43:00
6,NVIDIA GeForce RTX 3090,GPU-87e15bf2-c1f5-b2b8-4ee8-bcc32185c937,24576,15,24110,0,33,P8,0,FREE,2026-07-18 13:43:00
